76	100
64	42
44	100
100	55
99	92
55	85
6	99
6	72
55	94
26	77
70	100
46	58
78	90
34	62
93	78
1	54
17	13
68	100
69	100
32	65
33	41
54	100
100	32
84	13
97	39
18	26
30	42
38	100
20	26
23	100
18	27
100	53
48	13
84	37
58	100
100	13
1	25
1	40
60	39
46	76
24	94
100	37
57	41
100	56
34	78
100	72
65	53
49	33
48	65
40	13
16	36
35	52
1	74
35	72
19	13
73	58
13	38
41	13
34	62
44	43
45	60
80	13
27	83
78	100
92	13
63	13
100	42
38	59
1	60
44	70
100	100
1	86
1	13
27	100
83	58
77	13
80	68
61	89
100	54
47	13
45	80
39	99
69	81
55	29
30	40
17	87
30	13
62	92
51	56
12	50
31	100
32	57
20	13
47	83
73	51
7	56
47	48
32	45
59	57
90	100
