37	25	38
15	72	1
48	56	15
51	63	29
62	27	1
31	39	3
26	71	1
50	45	1
43	59	78
37	5	8
56	42	63
41	46	61
31	89	70
30	89	1
73	25	10
52	16	1
51	43	69
25	33	1
45	16	40
19	81	1
29	89	21
60	38	1
26	1	1
77	46	26
5	1	1
56	16	78
20	8	1
12	45	14
32	20	78
10	71	25
35	86	18
34	31	1
36	26	1
49	38	78
13	84	1
37	28	78
3	56	1
19	2	1
50	44	42
58	1	78
44	1	13
55	1	78
42	52	46
13	34	20
67	4	10
59	1	51
36	70	74
40	69	53
62	26	7
1	77	1
14	37	33
31	16	6
55	48	68
37	1	1
1	32	38
4	13	47
77	58	76
73	88	1
36	70	14
56	89	3
27	1	1
37	13	18
67	1	32
58	34	31
5	77	78
34	1	6
48	79	1
17	1	1
65	34	78
63	83	78
30	19	78
66	38	23
26	1	60
30	89	40
40	1	78
1	9	77
31	88	2
59	46	5
17	86	1
1	21	12
7	88	1
34	70	54
50	22	48
7	31	5
23	59	36
62	61	9
43	1	34
58	1	78
69	57	56
74	25	17
60	89	49
52	10	25
77	47	78
48	20	1
1	80	3
42	89	1
30	82	78
4	66	1
10	12	1
27	35	67
